tiempo_ms,pwm,rpm
8050,80,1871.0
8100,80,5259.0
8150,80,7497.0
8200,80,8658.0
8250,80,9648.0
8300,80,10040.0
8350,80,10241.0
8400,80,9274.0
8450,80,8387.0
8500,80,7882.0
8550,80,7995.0
8600,80,8059.0
8650,80,7796.0
8700,80,10217.0
8750,80,11953.0
8800,80,12161.0
8850,80,12180.0
8900,80,12312.0
8950,80,12226.0
9000,80,12496.0
9050,80,12391.0
9100,80,12377.0
9150,80,12426.0
9200,80,12504.0
9250,80,12468.0
9300,80,12455.0
9350,80,12443.0
9400,80,12416.0
9450,80,12317.0
9500,80,12224.0
9550,80,12277.0
9600,80,12282.0
9650,80,12250.0
9700,80,12117.0
9750,80,12188.0
9800,80,12139.0
9850,80,12075.0
9900,80,12127.0
9950,80,12062.0
10000,80,12062.0
10050,100,15103.0
10100,100,15436.0
10150,100,15861.0
10200,100,15271.0
10250,100,15107.0
10300,100,15072.0
10350,100,15701.0
10400,100,15021.0
10450,100,15615.0
10500,100,15122.0
10550,100,15467.0
10600,100,15215.0
10650,100,15331.0
10700,100,15459.0
10750,100,15088.0
10800,100,15373.0
10850,100,15100.0
10900,100,15872.0
10950,100,15664.0
11000,100,15131.0
11050,100,15662.0
11100,100,15309.0
11150,100,15770.0
11200,100,15344.0
11250,100,15492.0
11300,100,15414.0
11350,100,15806.0
11400,100,15386.0
11450,100,15192.0
11500,100,15956.0
11550,100,15277.0
11600,100,15161.0
11650,100,15460.0
11700,100,15314.0
11750,100,15022.0
11800,100,15253.0
11850,100,15748.0
11900,100,15857.0
11950,100,15561.0
12000,100,15475.0
12050,80,8180.0
12100,80,9114.0
12150,80,11245.0
12200,80,13483.0
12250,80,14099.0
12300,80,13843.0
12350,80,13596.0
12400,80,13407.0
12450,80,13408.0
12500,80,13160.0
12550,80,13016.0
12600,80,13005.0
12650,80,13006.0
12700,80,12891.0
12750,80,12644.0
12800,80,12635.0
12850,80,12663.0
12900,80,12564.0
12950,80,12622.0
13000,80,12698.0
13050,80,12433.0
13100,80,12297.0
13150,80,11957.0
13200,80,11948.0
13250,80,11927.0
13300,80,11817.0
13350,80,11961.0
13400,80,11748.0
13450,80,11737.0
13500,80,11826.0
13550,80,11832.0
13600,80,11688.0
13650,80,11818.0
13700,80,11760.0
13750,80,11650.0
13800,80,11783.0
13850,80,11769.0
13900,80,11669.0
13950,80,11703.0
14000,80,11740.0
14050,60,11525.0
14100,60,11133.0
14150,60,10879.0
14200,60,10498.0
14250,60,10366.0
14300,60,9982.0
14350,60,9832.0
14400,60,9749.0
14450,60,9554.0
14500,60,9388.0
14550,60,9289.0
14600,60,9215.0
14650,60,9090.0
14700,60,9102.0
14750,60,9017.0
14800,60,8905.0
14850,60,8924.0
14900,60,8835.0
14950,60,8920.0
15000,60,8851.0
15050,60,8718.0
15100,60,8791.0
15150,60,8797.0
15200,60,8730.0
15250,60,8758.0
15300,60,8705.0
15350,60,8763.0
15400,60,8670.0
15450,60,8667.0
15500,60,8629.0
15550,60,8569.0
15600,60,8634.0
15650,60,8621.0
15700,60,8620.0
15750,60,8585.0
15800,60,8581.0
15850,60,8554.0
15900,60,8504.0
15950,60,8476.0
16000,60,8513.0
16050,40,8284.0
16100,40,7889.0
16150,40,7399.0
16200,40,7184.0
16250,40,6789.0
16300,40,6419.0
16350,40,6297.0
16400,40,6099.0
16450,40,5911.0
16500,40,5671.0
16550,40,5519.0
16600,40,5295.0
16650,40,5283.0
16700,40,5126.0
16750,40,5028.0
16800,40,4972.0
16850,40,4818.0
16900,40,4723.0
16950,40,4760.0
17000,40,4651.0
17050,40,4578.0
17100,40,4572.0
17150,40,4512.0
17200,40,4474.0
17250,40,4476.0
17300,40,4451.0
17350,40,4307.0
17400,40,4309.0
17450,40,4344.0
17500,40,4309.0
17550,40,4335.0
17600,40,4333.0
17650,40,4362.0
17700,40,4252.0
17750,40,4259.0
17800,40,4149.0
17850,40,4259.0
17900,40,4185.0
17950,40,4216.0
18000,40,4158.0
18050,20,3985.0
18100,20,3616.0
18150,20,3054.0
18200,20,2780.0
18250,20,2434.0
18300,20,2079.0
18350,20,1811.0
18400,20,1500.0
18450,20,1264.0
18500,20,1041.0
18550,20,781.0
18600,20,684.0
18650,20,492.0
18700,20,287.0
18750,20,107.0
18800,20,0.0
18850,20,43.0
18900,20,9.0
18950,20,0.0
19000,20,0.0
19050,20,0.0
19100,20,0.0
19150,20,0.0
19200,20,0.0
19250,20,0.0
19300,20,0.0
19350,20,0.0
19400,20,0.0
19450,20,0.0
19500,20,0.0
19550,20,0.0
19600,20,0.0
19650,20,0.0
19700,20,0.0
19750,20,0.0
19800,20,0.0
19850,20,0.0
19900,20,0.0
19950,20,0.0
20000,20,0.0
